text,category,urgency_score
Shower pressure very low in bathroom 288,Plumbing,3
Tap dripping continuously in room 177,Plumbing,3
Pest sighting in room 245,Other,3
Shower pressure very low in bathroom 251,Plumbing,3
Bathroom drainage clogged and overflowing in room 256,Plumbing,8
Ceiling crack spreading in room 264,Civil,7
Study table wobbling in room 296,Carpenter,4
Paint peeling in room 118,Civil,2
Bathroom drainage clogged and overflowing in room 116,Plumbing,8
Internet down in hostel C since last night,Internet,5
Fan making loud noise in room 201,Electrical,4
Minor leak under washbasin in room 115,Plumbing,3
Sparks coming from switchboard in room 189,Electrical,9
Wardrobe lock broken in room 288,Carpenter,4
Tap dripping continuously in room 170,Plumbing,3
Medical emergency: student unconscious in room 261,Other,10
Minor leak under washbasin in room 193,Plumbing,3
Wardrobe lock broken in room 247,Carpenter,4
Window latch not closing in room 320,Carpenter,4
Wardrobe lock broken in room 170,Carpenter,4
Medical emergency: student unconscious in room 220,Other,10
Very slow WiFi in room 242,Internet,5
Paint peeling in room 175,Civil,2
Charging points loose in room 139,Electrical,4
Door lock jammed in room 295,Carpenter,4
Charging points loose in room 226,Electrical,4
Burst pipe in hostel F causing water overflow,Plumbing,8
Window latch not closing in room 249,Carpenter,4
Room needs repainting in hostel B,Civil,2
Cannot connect to hostel WiFi from room 124,Internet,5
Electric shock from switch in room 111,Electrical,9
No power in one socket of room 283,Electrical,4
No power in one socket of room 113,Electrical,4
Minor leak under washbasin in room 132,Plumbing,3
Tube light not working in room 250,Electrical,4
Shower pressure very low in bathroom 308,Plumbing,3
Sparks coming from switchboard in room 132,Electrical,9
Electric shock from switch in room 139,Electrical,9
Paint peeling in room 199,Civil,2
Window latch not closing in room 189,Carpenter,4
Sparks coming from switchboard in room 157,Electrical,9
Bathroom drainage clogged and overflowing in room 236,Plumbing,8
Study table wobbling in room 126,Carpenter,4
Fan making loud noise in room 309,Electrical,4
Study table wobbling in room 246,Carpenter,4
Loose floor tile in room 226,Civil,2
Study table wobbling in room 188,Carpenter,4
Electric shock from switch in room 138,Electrical,9
Very slow WiFi in room 288,Internet,5
Very slow WiFi in room 287,Internet,5
Door lock jammed in room 182,Carpenter,4
Bathroom drainage clogged and overflowing in room 278,Plumbing,8
Sink drain slow and gurgling in room 285,Plumbing,3
Water seepage on wall of room 197,Civil,7
Study table wobbling in room 313,Carpenter,4
Loose floor tile in room 142,Civil,2
Paint peeling in room 176,Civil,2
Bathroom drainage clogged and overflowing in room 119,Plumbing,8
No water supply since morning in hostel E,Plumbing,8
Minor wall crack in room 101,Civil,2
Ceiling crack spreading in room 223,Civil,7
Sink drain slow and gurgling in room 221,Plumbing,3
Electric shock from switch in room 148,Electrical,9
Paint peeling in room 220,Civil,2
Loose floor tile in room 177,Civil,2
Minor leak under washbasin in room 229,Plumbing,3
Short circuit smell near corridor panel in block 2,Electrical,9
Pest sighting in room 167,Other,3
Door lock jammed in room 243,Carpenter,4
Paint peeling in room 251,Civil,2
Tap dripping continuously in room 302,Plumbing,3
Repeated power trips in hostel F causing safety issues,Other,8
Cannot connect to hostel WiFi from room 169,Internet,5
Minor wall crack in room 290,Civil,2
Network latency high during exams in hostel D,Internet,5
Bathroom drainage clogged and overflowing in room 171,Plumbing,8
Window latch not closing in room 263,Carpenter,4
Tap dripping continuously in room 226,Plumbing,3
Fire alarm triggered due to smoke near kitchen in block 2,Other,10
No power in one socket of room 232,Electrical,4
Power outage and smoke near inverter room in hostel G,Electrical,9
Window latch not closing in room 220,Carpenter,4
Study table wobbling in room 256,Carpenter,4
Very slow WiFi in room 224,Internet,5
Sink drain slow and gurgling in room 171,Plumbing,3
Very slow WiFi in room 233,Internet,5
Gas leak smell in cafeteria near hostel F,Other,10
Internet down in hostel D since last night,Internet,5
Door lock jammed in room 158,Carpenter,4
Cannot connect to hostel WiFi from room 196,Internet,5
Minor leak under washbasin in room 249,Plumbing,3
Minor leak under washbasin in room 206,Plumbing,3
Sparks coming from switchboard in room 262,Electrical,9
Electric shock from switch in room 102,Electrical,9
Study table wobbling in room 274,Carpenter,4
Sparks coming from switchboard in room 251,Electrical,9
Cannot connect to hostel WiFi from room 253,Internet,5
Ceiling crack spreading in room 287,Civil,7
Garbage not cleared for two days in hostel D,Other,3
Minor leak under washbasin in room 152,Plumbing,3
Minor wall crack in room 185,Civil,2
Medical emergency: student unconscious in room 166,Other,10
Pest sighting in room 168,Other,3
Paint peeling in room 111,Civil,2
Very slow WiFi in room 210,Internet,5
Tap dripping continuously in room 103,Plumbing,3
Wardrobe lock broken in room 203,Carpenter,4
Ceiling stains in room 129,Civil,2
Sparks coming from switchboard in room 127,Electrical,9
Minor wall crack in room 300,Civil,2
Study table wobbling in room 224,Carpenter,4
Sink drain slow and gurgling in room 104,Plumbing,3
Tube light not working in room 139,Electrical,4
Minor wall crack in room 183,Civil,2
No power in one socket of room 230,Electrical,4
Charging points loose in room 204,Electrical,4
Door lock jammed in room 127,Carpenter,4
Shower pressure very low in bathroom 191,Plumbing,3
Tap dripping continuously in room 136,Plumbing,3
Ceiling crack spreading in room 151,Civil,7
Minor wall crack in room 128,Civil,2
Ceiling crack spreading in room 132,Civil,7
Ceiling stains in room 230,Civil,2
Sparks coming from switchboard in room 256,Electrical,9
No power in one socket of room 176,Electrical,4
Minor wall crack in room 255,Civil,2
Very slow WiFi in room 282,Internet,5
Pest sighting in room 278,Other,3
Study table wobbling in room 247,Carpenter,4
Ceiling crack spreading in room 107,Civil,7
Water seepage on wall of room 152,Civil,7
Bathroom drainage clogged and overflowing in room 109,Plumbing,8
Window latch not closing in room 273,Carpenter,4
Charging points loose in room 278,Electrical,4
No power in one socket of room 240,Electrical,4
Minor wall crack in room 148,Civil,2
Window latch not closing in room 111,Carpenter,4
Electric shock from switch in room 299,Electrical,9
Study table wobbling in room 234,Carpenter,4
Charging points loose in room 244,Electrical,4
Charging points loose in room 111,Electrical,4
Paint peeling in room 183,Civil,2
Medical emergency: student unconscious in room 298,Other,10
Pest sighting in room 314,Other,3
Shower pressure very low in bathroom 266,Plumbing,3
Shower pressure very low in bathroom 284,Plumbing,3
Electric shock from switch in room 248,Electrical,9
No power in one socket of room 216,Electrical,4
Ceiling crack spreading in room 265,Civil,7
Sink drain slow and gurgling in room 175,Plumbing,3
Ceiling stains in room 222,Civil,2
Sparks coming from switchboard in room 247,Electrical,9
Charging points loose in room 150,Electrical,4
Shower pressure very low in bathroom 319,Plumbing,3
Pest sighting in room 259,Other,3
Shower pressure very low in bathroom 216,Plumbing,3
Study table wobbling in room 278,Carpenter,4
Window latch not closing in room 181,Carpenter,4
Fan making loud noise in room 171,Electrical,4
Wardrobe lock broken in room 223,Carpenter,4
Ceiling stains in room 225,Civil,2
Medical emergency: student unconscious in room 121,Other,10
Medical emergency: student unconscious in room 249,Other,10
Electric shock from switch in room 298,Electrical,9
Medical emergency: student unconscious in room 229,Other,10
Minor wall crack in room 195,Civil,2
Window latch not closing in room 112,Carpenter,4
Bathroom drainage clogged and overflowing in room 263,Plumbing,8
Very slow WiFi in room 246,Internet,5
Charging points loose in room 310,Electrical,4
Window latch not closing in room 255,Carpenter,4
Shower pressure very low in bathroom 285,Plumbing,3
Charging points loose in room 106,Electrical,4
Tube light not working in room 224,Electrical,4
Shower pressure very low in bathroom 134,Plumbing,3
Tap dripping continuously in room 230,Plumbing,3
Shower pressure very low in bathroom 254,Plumbing,3
Ceiling stains in room 306,Civil,2
Medical emergency: student unconscious in room 277,Other,10
Window latch not closing in room 140,Carpenter,4
Cannot connect to hostel WiFi from room 206,Internet,5
Sparks coming from switchboard in room 203,Electrical,9
Study table wobbling in room 142,Carpenter,4
Sink drain slow and gurgling in room 121,Plumbing,3
Sparks coming from switchboard in room 268,Electrical,9
Burst pipe in hostel A causing water overflow,Plumbing,8
Tap dripping continuously in room 286,Plumbing,3
Ceiling stains in room 298,Civil,2
No power in one socket of room 275,Electrical,4
Loose floor tile in room 224,Civil,2
Sink drain slow and gurgling in room 263,Plumbing,3
Fan making loud noise in room 206,Electrical,4
Study table wobbling in room 280,Carpenter,4
Fan making loud noise in room 168,Electrical,4
Fan making loud noise in room 315,Electrical,4
Minor leak under washbasin in room 296,Plumbing,3
Medical emergency: student unconscious in room 196,Other,10
CCTV not working in corridor of hostel D,Other,8
Minor wall crack in room 172,Civil,2
Water seepage on wall of room 133,Civil,7
Medical emergency: student unconscious in room 201,Other,10
Pest sighting in room 279,Other,3
Gas leak smell in cafeteria near hostel C,Other,10
Pest sighting in room 126,Other,3
Bed frame broken in room 148,Carpenter,4
Water seepage on wall of room 194,Civil,7
Sink drain slow and gurgling in room 243,Plumbing,3
Window latch not closing in room 244,Carpenter,4
Sparks coming from switchboard in room 222,Electrical,9
Bed frame broken in room 308,Carpenter,4
Very slow WiFi in room 132,Internet,5
Study table wobbling in room 248,Carpenter,4
Study table wobbling in room 121,Carpenter,4
Tap dripping continuously in room 159,Plumbing,3
Bed frame broken in room 282,Carpenter,4
Ceiling stains in room 319,Civil,2
Tap dripping continuously in room 241,Plumbing,3
Tap dripping continuously in room 140,Plumbing,3
Minor leak under washbasin in room 164,Plumbing,3
Cannot connect to hostel WiFi from room 134,Internet,5
Bed frame broken in room 220,Carpenter,4
Severe injury reported in hostel E common room,Other,10
Severe injury reported in hostel G common room,Other,10
Very slow WiFi in room 140,Internet,5
Electric shock from switch in room 237,Electrical,9
Cannot connect to hostel WiFi from room 147,Internet,5
Electric shock from switch in room 259,Electrical,9
Medical emergency: student unconscious in room 173,Other,10
Shower pressure very low in bathroom 299,Plumbing,3
Ceiling crack spreading in room 147,Civil,7
No power in one socket of room 313,Electrical,4
Minor wall crack in room 151,Civil,2
Paint peeling in room 222,Civil,2
Pest sighting in room 263,Other,3
Loose floor tile in room 298,Civil,2
Shower pressure very low in bathroom 124,Plumbing,3
Wardrobe lock broken in room 303,Carpenter,4
Shower pressure very low in bathroom 182,Plumbing,3
Electric shock from switch in room 281,Electrical,9
Loose floor tile in room 279,Civil,2
Minor wall crack in room 240,Civil,2
Bed frame broken in room 171,Carpenter,4
Window latch not closing in room 198,Carpenter,4
Sparks coming from switchboard in room 299,Electrical,9
Loose floor tile in room 173,Civil,2
Window latch not closing in room 129,Carpenter,4
Minor leak under washbasin in room 109,Plumbing,3
Charging points loose in room 104,Electrical,4
Tube light not working in room 220,Electrical,4
CCTV not working in corridor of hostel E,Other,8
Sink drain slow and gurgling in room 233,Plumbing,3
Tap dripping continuously in room 237,Plumbing,3
Water seepage on wall of room 269,Civil,7
Pest sighting in room 214,Other,3
Bed frame broken in room 317,Carpenter,4
Window latch not closing in room 312,Carpenter,4
Study table wobbling in room 240,Carpenter,4
Tube light not working in room 291,Electrical,4
Very slow WiFi in room 202,Internet,5
Fan making loud noise in room 106,Electrical,4
Wardrobe lock broken in room 194,Carpenter,4
Minor wall crack in room 310,Civil,2
Bed frame broken in room 207,Carpenter,4
Shower pressure very low in bathroom 103,Plumbing,3
Bathroom drainage clogged and overflowing in room 139,Plumbing,8
Study table wobbling in room 140,Carpenter,4
Medical emergency: student unconscious in room 175,Other,10
Water seepage on wall of room 122,Civil,7
Water seepage on wall of room 224,Civil,7
Minor leak under washbasin in room 190,Plumbing,3
No power in one socket of room 268,Electrical,4
Bathroom drainage clogged and overflowing in room 258,Plumbing,8
Loose floor tile in room 112,Civil,2
Tap dripping continuously in room 163,Plumbing,3
Door lock jammed in room 221,Carpenter,4
Charging points loose in room 241,Electrical,4
Loose floor tile in room 278,Civil,2
Bathroom drainage clogged and overflowing in room 160,Plumbing,8
Loose floor tile in room 148,Civil,2
Window latch not closing in room 105,Carpenter,4
Cannot connect to hostel WiFi from room 243,Internet,5
Pest sighting in room 234,Other,3
Charging points loose in room 180,Electrical,4
Fan making loud noise in room 276,Electrical,4
Fan making loud noise in room 135,Electrical,4
Water seepage on wall of room 141,Civil,7
Door lock jammed in room 285,Carpenter,4
Shower pressure very low in bathroom 287,Plumbing,3
Bathroom drainage clogged and overflowing in room 178,Plumbing,8
Minor leak under washbasin in room 317,Plumbing,3
Fan making loud noise in room 296,Electrical,4
Bathroom drainage clogged and overflowing in room 291,Plumbing,8
Pest sighting in room 117,Other,3
Window latch not closing in room 204,Carpenter,4
Window latch not closing in room 253,Carpenter,4
Minor leak under washbasin in room 163,Plumbing,3
Cannot connect to hostel WiFi from room 299,Internet,5
Cannot connect to hostel WiFi from room 176,Internet,5
Sink drain slow and gurgling in room 284,Plumbing,3
Tap dripping continuously in room 263,Plumbing,3
Door lock jammed in room 287,Carpenter,4
Ceiling crack spreading in room 186,Civil,7
Loose floor tile in room 256,Civil,2
Minor wall crack in room 269,Civil,2
Ceiling stains in room 121,Civil,2
Door lock jammed in room 207,Carpenter,4
Loose floor tile in room 124,Civil,2
Very slow WiFi in room 310,Internet,5
Minor leak under washbasin in room 117,Plumbing,3
Cannot connect to hostel WiFi from room 278,Internet,5
Very slow WiFi in room 235,Internet,5
Fan making loud noise in room 128,Electrical,4
Bed frame broken in room 260,Carpenter,4
No power in one socket of room 131,Electrical,4
Charging points loose in room 112,Electrical,4
Bed frame broken in room 103,Carpenter,4
Pest sighting in room 166,Other,3
Sink drain slow and gurgling in room 241,Plumbing,3
Door lock jammed in room 188,Carpenter,4
Ceiling stains in room 266,Civil,2
Window latch not closing in room 291,Carpenter,4
Charging points loose in room 305,Electrical,4
Door lock jammed in room 316,Carpenter,4
Door lock jammed in room 123,Carpenter,4
Sink drain slow and gurgling in room 300,Plumbing,3
Loose floor tile in room 188,Civil,2
Loose floor tile in room 137,Civil,2
Bathroom drainage clogged and overflowing in room 123,Plumbing,8
Window latch not closing in room 234,Carpenter,4
Very slow WiFi in room 298,Internet,5
Paint peeling in room 141,Civil,2
Medical emergency: student unconscious in room 190,Other,10
Wardrobe lock broken in room 121,Carpenter,4
Loose floor tile in room 309,Civil,2
Paint peeling in room 276,Civil,2
Paint peeling in room 129,Civil,2
Window latch not closing in room 173,Carpenter,4
Study table wobbling in room 231,Carpenter,4
Minor leak under washbasin in room 184,Plumbing,3
Medical emergency: student unconscious in room 237,Other,10
Ceiling stains in room 162,Civil,2
Ceiling crack spreading in room 309,Civil,7
Study table wobbling in room 145,Carpenter,4
Paint peeling in room 219,Civil,2
Study table wobbling in room 146,Carpenter,4
Cannot connect to hostel WiFi from room 128,Internet,5
No power in one socket of room 304,Electrical,4
Electric shock from switch in room 241,Electrical,9
Door lock jammed in room 108,Carpenter,4
Tube light not working in room 201,Electrical,4
Water seepage on wall of room 265,Civil,7
Minor wall crack in room 169,Civil,2
Medical emergency: student unconscious in room 232,Other,10
Loose floor tile in room 208,Civil,2
Bed frame broken in room 110,Carpenter,4
Bathroom drainage clogged and overflowing in room 107,Plumbing,8
Cannot connect to hostel WiFi from room 230,Internet,5
Sink drain slow and gurgling in room 258,Plumbing,3
Very slow WiFi in room 104,Internet,5
Tube light not working in room 109,Electrical,4
Water seepage on wall of room 286,Civil,7
Pest sighting in room 288,Other,3
Door lock jammed in room 294,Carpenter,4
Tap dripping continuously in room 203,Plumbing,3
Ceiling stains in room 236,Civil,2
Window latch not closing in room 186,Carpenter,4
Very slow WiFi in room 166,Internet,5
Pest sighting in room 298,Other,3
Charging points loose in room 181,Electrical,4
Medical emergency: student unconscious in room 313,Other,10
Tap dripping continuously in room 235,Plumbing,3
Minor leak under washbasin in room 286,Plumbing,3
Very slow WiFi in room 107,Internet,5
Charging points loose in room 282,Electrical,4
Tap dripping continuously in room 134,Plumbing,3
Electric shock from switch in room 270,Electrical,9
Minor leak under washbasin in room 278,Plumbing,3
Sink drain slow and gurgling in room 198,Plumbing,3
Charging points loose in room 266,Electrical,4
Water seepage on wall of room 214,Civil,7
Minor wall crack in room 110,Civil,2
Window latch not closing in room 232,Carpenter,4
Ceiling stains in room 317,Civil,2
Paint peeling in room 192,Civil,2
Bed frame broken in room 262,Carpenter,4
Water seepage on wall of room 128,Civil,7
Minor wall crack in room 150,Civil,2
Bathroom drainage clogged and overflowing in room 204,Plumbing,8
Shower pressure very low in bathroom 218,Plumbing,3
Fan making loud noise in room 262,Electrical,4
Bathroom drainage clogged and overflowing in room 217,Plumbing,8
Tap dripping continuously in room 305,Plumbing,3
Window latch not closing in room 276,Carpenter,4
Tap dripping continuously in room 294,Plumbing,3
Water seepage on wall of room 242,Civil,7
Sparks coming from switchboard in room 197,Electrical,9
Sparks coming from switchboard in room 102,Electrical,9
Electric shock from switch in room 206,Electrical,9
Fan making loud noise in room 253,Electrical,4
Very slow WiFi in room 243,Internet,5
Fan making loud noise in room 125,Electrical,4
Tube light not working in room 171,Electrical,4
Ceiling stains in room 272,Civil,2
Tube light not working in room 258,Electrical,4
Paint peeling in room 238,Civil,2
Medical emergency: student unconscious in room 285,Other,10
No power in one socket of room 184,Electrical,4
Water seepage on wall of room 250,Civil,7
Paint peeling in room 156,Civil,2
Bed frame broken in room 133,Carpenter,4
Minor leak under washbasin in room 144,Plumbing,3
Wardrobe lock broken in room 141,Carpenter,4
Charging points loose in room 172,Electrical,4
Window latch not closing in room 252,Carpenter,4
Minor leak under washbasin in room 122,Plumbing,3
Medical emergency: student unconscious in room 156,Other,10
Electric shock from switch in room 266,Electrical,9
Tap dripping continuously in room 142,Plumbing,3
Loose floor tile in room 107,Civil,2
Ceiling stains in room 281,Civil,2
Water seepage on wall of room 261,Civil,7
Study table wobbling in room 210,Carpenter,4
Minor leak under washbasin in room 259,Plumbing,3
Bathroom drainage clogged and overflowing in room 266,Plumbing,8
Wardrobe lock broken in room 267,Carpenter,4
Loose floor tile in room 293,Civil,2
Bed frame broken in room 229,Carpenter,4
Medical emergency: student unconscious in room 274,Other,10
Minor leak under washbasin in room 120,Plumbing,3
Shower pressure very low in bathroom 279,Plumbing,3
Paint peeling in room 117,Civil,2
Window latch not closing in room 268,Carpenter,4
Charging points loose in room 271,Electrical,4
Bed frame broken in room 215,Carpenter,4
Paint peeling in room 130,Civil,2
Tube light not working in room 184,Electrical,4
Bathroom drainage clogged and overflowing in room 284,Plumbing,8
Very slow WiFi in room 215,Internet,5
Medical emergency: student unconscious in room 290,Other,10
Shower pressure very low in bathroom 222,Plumbing,3
Cannot connect to hostel WiFi from room 219,Internet,5
Pest sighting in room 296,Other,3
Cannot connect to hostel WiFi from room 291,Internet,5
Study table wobbling in room 212,Carpenter,4
Electric shock from switch in room 170,Electrical,9
Window latch not closing in room 113,Carpenter,4
Fan making loud noise in room 254,Electrical,4
Ceiling stains in room 127,Civil,2
Fan making loud noise in room 313,Electrical,4
Charging points loose in room 317,Electrical,4
Paint peeling in room 105,Civil,2
Loose floor tile in room 145,Civil,2
Ceiling crack spreading in room 109,Civil,7
Sink drain slow and gurgling in room 178,Plumbing,3
Tap dripping continuously in room 296,Plumbing,3
Paint peeling in room 198,Civil,2
Water seepage on wall of room 205,Civil,7
Sink drain slow and gurgling in room 129,Plumbing,3
Loose floor tile in room 276,Civil,2
Minor wall crack in room 175,Civil,2
Water seepage on wall of room 316,Civil,7
Paint peeling in room 234,Civil,2
Wardrobe lock broken in room 253,Carpenter,4
Ceiling crack spreading in room 286,Civil,7
Cannot connect to hostel WiFi from room 271,Internet,5
Ceiling stains in room 108,Civil,2
Tap dripping continuously in room 228,Plumbing,3
Cannot connect to hostel WiFi from room 167,Internet,5
Paint peeling in room 243,Civil,2
Water seepage on wall of room 225,Civil,7
Cannot connect to hostel WiFi from room 258,Internet,5
Bed frame broken in room 107,Carpenter,4
Bed frame broken in room 115,Carpenter,4
Pest sighting in room 266,Other,3
Sink drain slow and gurgling in room 238,Plumbing,3
Door lock jammed in room 246,Carpenter,4
Loose floor tile in room 197,Civil,2
Paint peeling in room 187,Civil,2
Paint peeling in room 155,Civil,2
Very slow WiFi in room 247,Internet,5
Water seepage on wall of room 284,Civil,7
No power in one socket of room 162,Electrical,4
Door lock jammed in room 317,Carpenter,4
Electric shock from switch in room 161,Electrical,9
Water seepage on wall of room 150,Civil,7
Loose floor tile in room 266,Civil,2
Bathroom drainage clogged and overflowing in room 269,Plumbing,8
Paint peeling in room 181,Civil,2
Door lock jammed in room 161,Carpenter,4
Paint peeling in room 132,Civil,2
Bed frame broken in room 289,Carpenter,4
Water seepage on wall of room 137,Civil,7
Shower pressure very low in bathroom 213,Plumbing,3
Loose floor tile in room 182,Civil,2
Electric shock from switch in room 311,Electrical,9
Ceiling stains in room 166,Civil,2
Fan making loud noise in room 308,Electrical,4
Minor leak under washbasin in room 316,Plumbing,3
Electric shock from switch in room 191,Electrical,9
Window latch not closing in room 296,Carpenter,4
Pest sighting in room 152,Other,3
Shower pressure very low in bathroom 283,Plumbing,3
Pest sighting in room 276,Other,3
Electric shock from switch in room 312,Electrical,9
Sparks coming from switchboard in room 246,Electrical,9
Tap dripping continuously in room 212,Plumbing,3
Ceiling stains in room 283,Civil,2
Fan making loud noise in room 174,Electrical,4
Ceiling stains in room 320,Civil,2
Charging points loose in room 287,Electrical,4
